FOLDER A                                      , FOLDER B                                      , FILES  , AVG SCORE
PluginAutoFit-Github/chatGPT/src              , PluginAutoFit-Github/chatGPT/src/bak          ,8,1
jules0/src                                    , jules0/src/bak                                ,7,1
PluginAutoFit-Github/src                      , PluginAutoFit-Github/src/bak                  ,6,1
PluginAutoFit/src/bak                         , result/src/bak                                ,6,1
PluginAutoFit-Github/include                  , PluginAutoFit-Github/include/bak              ,5,1
PluginAutoFit-Github/legacy/old_voxel/src     , PluginAutoFit-Github/legacy/old_voxel/src/b   ,4,1
PluginAutoFit/legacy/src/src                  , PluginAutoFit/legacy/src/src/bak              ,4,1
PluginAutoFit-Github/include                  , PluginAutoFit-Github/legacy/old_voxel/inclu   ,3,1
PluginAutoFit-Github/legacy/old_voxel/inclu   , PluginAutoFit-Github/legacy/old_voxel/inclu   ,3,1
PluginAutoFit-Github/legacy/chatGPT_old/inc   , PluginAutoFit/legacy/chatGPT_old/include      ,4,0.99
result/src                                    , result/src/bak                                ,3,0.99
PluginAutoFit/include                         , result/include                                ,5,0.98
PluginAutoFit-Github/src                      , PluginAutoFit/legacy/src                      ,10,0.97
PluginAutoFit/legacy/src                      , PluginAutoFit/legacy/src/bak                  ,4,0.97
PluginAutoFit/src                             , result/src/bak                                ,4,0.97
PluginAutoFit-Github/include/bak              , PluginAutoFit/legacy/include                  ,3,0.97
PluginAutoFit/legacy/include                  , PluginAutoFit/legacy/src/include              ,3,0.97
PluginAutoFit-Github/include                  , PluginAutoFit/include                         ,4,0.96
PluginAutoFit/legacy/src                      , PluginAutoFit/legacy/src/src                  ,4,0.96
PluginAutoFit/src                             , PluginAutoFit/src/bak                         ,8,0.95
PluginAutoFit/include                         , PluginAutoFit/include/bak                     ,5,0.95
PluginAutoFit-Github/chatGPT/include          , PluginAutoFit-Github/legacy/chatGPT_old/inc   ,4,0.95
PluginAutoFit/include/bak                     , result/include/bak                            ,3,0.95
PluginAutoFit/legacy/src                      , PluginAutoFit/legacy/src/src/bak              ,3,0.95
PluginAutoFit/src/bak                         , result/src                                    ,3,0.95
PluginAutoFit-Github/legacy/chatGPT_old/inc   , PluginAutoFit/legacy/include                  ,5,0.94
PluginAutoFit-Github/legacy/old_voxel/inclu   , PluginAutoFit/legacy/src/include              ,6,0.93
PluginAutoFit-Github/include                  , result/include                                ,3,0.93
PluginAutoFit-Github/legacy/old_voxel/src/b   , PluginAutoFit/legacy/src/src                  ,3,0.93
PluginAutoFit-Github/legacy/old_voxel/src/b   , PluginAutoFit/legacy/src/src/bak              ,3,0.93
PluginAutoFit-Github/legacy/old_voxel/src     , PluginAutoFit/legacy/src/src                  ,4,0.92
PluginAutoFit-Github/legacy/old_voxel/src     , PluginAutoFit/legacy/src/src/bak              ,4,0.92
PluginAutoFit-Github/include                  , PluginAutoFit/legacy/include                  ,6,0.9
PluginAutoFit-Github/include                  , PluginAutoFit/include/bak                     ,4,0.89
PluginAutoFit-Github/legacy/old_voxel/src     , PluginAutoFit/legacy/src                      ,4,0.89
PluginAutoFit-Github/legacy/old_voxel/inclu   , PluginAutoFit/legacy/include                  ,3,0.89
PluginAutoFit/include                         , result/include/bak                            ,3,0.89
PluginAutoFit/jules0/src                      , jules0/src                                    ,5,0.86
PluginAutoFit/jules0/src                      , jules0/src/bak                                ,5,0.86
PluginAutoFit-Github/chatGPT/src              , PluginAutoFit-Github/src                      ,3,0.86
PluginAutoFit-Github/chatGPT/src/bak          , PluginAutoFit-Github/src                      ,3,0.86
PluginAutoFit-Github/chatGPT/src              , PluginAutoFit/legacy/src                      ,3,0.84
