Bestand,Similarity,Pad 1,Pad 2,Nieuwste Versie,Tijdsverschil (uur),Datum 1,Datum 2
h_reduce_consensus.cpp,1.0,mess/zip/PluginAutoFit/bak2/h_reduce_consensus.cpp,mess/zip/PluginAutoFit/src/h_reduce_consensus.cpp,mess/zip/PluginAutoFit/src/h_reduce_consensus.cpp,0.0,2026-01-13 17:12:58,2026-01-13 17:12:58
autofit_impl.cpp,1.0,mess/zip/PluginAutoFit/src/autofit_impl.cpp,mess/zip/PluginAutoFit/result/src/autofit_impl.cpp,mess/zip/PluginAutoFit/result/src/autofit_impl.cpp,0.0,2026-01-13 12:59:19,2026-01-13 12:59:19
morton_utils.cuh,1.0,mess/zip/PluginAutoFit/legacy/src/include/morton_utils.cuh,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/morton_utils.cuh,mess/zip/PluginAutoFit/legacy/src/Thrust-test/include/morton_utils.cuh,0.0,2025-12-12 12:39:43,2025-12-12 12:39:43
pipe_fitting_detector.h,1.0,mess/zip/PluginAutoFit/include/pipe_fitting_detector.h,mess/zip/PluginAutoFit/PluginAutoFit/include/pipe_fitting_detector.h,mess/zip/PluginAutoFit/include/pipe_fitting_detector.h,381.5,2026-01-21 12:15:06,2026-01-05 14:45:57
strict.h,1.0,mess/zip/PluginAutoFit/include/strict.h,mess/zip/PluginAutoFit/PluginAutoFit/include/strict.h,mess/zip/PluginAutoFit/include/strict.h,2643.1,2026-01-21 12:14:44,2025-10-03 10:07:47
voxelprocessor.cpp,1.0,mess/zip/PluginAutoFit/src/voxelprocessor.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/voxelprocessor.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/voxelprocessor.cpp,0.0,2026-01-16 13:35:49,2026-01-16 13:35:49
h_do_optimize_frame3.cpp,1.0,mess/zip/PluginAutoFit/legacy/src/bak/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_do_optimize_frame3.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_do_optimize_frame3.cpp,0.0,2026-01-13 12:34:15,2026-01-13 12:34:15
merge_split.cuh,1.0,mess/zip/PluginAutoFit/legacy/include/bak/merge_split.cuh,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/bak/merge_split.cuh,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/bak/merge_split.cuh,0.0,2026-01-13 11:52:37,2026-01-13 11:52:37
k_reduce_groepen.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/k_reduce_groepen.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_reduce_groepen.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_reduce_groepen.cu,0.0,2026-01-13 13:53:36,2026-01-13 13:53:36
k_planair_regressie.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/k_planair_regressie.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_planair_regressie.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_planair_regressie.cu,0.0,2026-01-13 13:00:16,2026-01-13 13:00:16
h_merge_split.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/h_merge_split.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_merge_split.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_merge_split.cu,0.0,2026-01-13 11:52:37,2026-01-13 11:52:37
h_axis_fit.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/h_axis_fit.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_axis_fit.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_axis_fit.cu,0.0,2026-01-13 12:39:12,2026-01-13 12:39:12
demo_orchestratie_main.cpp,1.0,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/demo_orchestratie_main.cpp,mess/zip/PluginAutoFit/legacy/src/demo/bak/demo_orchestratie_main.cpp,mess/zip/PluginAutoFit/legacy/src/demo/bak/demo_orchestratie_main.cpp,0.0,2026-01-13 13:00:31,2026-01-13 13:00:31
k_label_sort.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/k_label_sort.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_label_sort.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_label_sort.cu,0.0,2026-01-13 12:41:17,2026-01-13 12:41:17
k_direction_vote_bdrm.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/k_direction_vote_bdrm.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_direction_vote_bdrm.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_direction_vote_bdrm.cu,0.0,2026-01-13 14:08:42,2026-01-13 14:08:42
k_rotatie_quat.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/k_rotatie_quat.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_rotatie_quat.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_rotatie_quat.cu,0.0,2026-01-13 12:34:15,2026-01-13 12:34:15
k_r1r2_filter.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_r1r2_filter.cu,0.0,2026-01-13 14:07:13,2026-01-13 14:07:13
voxel_kernels.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/bak/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/bak/voxel_kernels.cu,0.0,2026-01-13 12:52:09,2026-01-13 12:52:09
wedge_vote.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/wedge_vote.cu,mess/zip/PluginAutoFit/legacy/src/src/bak/wedge_vote.cu,mess/zip/PluginAutoFit/legacy/src/src/bak/wedge_vote.cu,0.0,2026-01-13 15:24:11,2026-01-13 15:24:11
plane_vote.cu,1.0,mess/zip/PluginAutoFit/legacy/src/bak/plane_vote.cu,mess/zip/PluginAutoFit/legacy/src/src/bak/plane_vote.cu,mess/zip/PluginAutoFit/legacy/src/src/bak/plane_vote.cu,0.0,2026-01-13 15:24:11,2026-01-13 15:24:11
voxel_kernels.cu,0.999,mess/zip/PluginAutoFit/legacy/src/bak/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,4.2,2026-01-13 12:52:09,2026-01-13 17:04:44
voxel_kernels.cu,0.999,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/bak/voxel_kernels.cu,mess/zip/PluginAutoFit/legacy/src/Thrust-test/src/voxel_kernels.cu,4.2,2026-01-13 17:04:44,2026-01-13 12:52:09
k_r1r2_filter.cu,0.9989,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/bak/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,3.0,2026-01-13 17:04:44,2026-01-13 14:07:13
k_r1r2_filter.cu,0.9989,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/k_r1r2_filter.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/k_r1r2_filter.cu,3.0,2026-01-13 17:04:44,2026-01-13 14:07:13
